Funcionario: gean; Cargo: desenvolvedor; Salario: 2000

Funcionario: Arlindo; Cargo: desenvolvedor; Salario: 2000

Funcionario: ; Cargo: pedreiro; Salario: 2000

Funcionario: gean; Cargo: desenvoldor web; Salario: 1000

Funcionario: jocelino; Cargo: diretor; Salario: 3000

Funcionario: Arlindo Junior; Cargo: Desenvolvedor; Salario: 1500

Funcionario: a; Cargo: a; Salario: 0

Funcionario: a; Cargo: s; Salario: 0

Funcionario: a; Cargo: b; Salario: 1

Funcionario: a; Cargo: s; Salario: 123

Funcionario: a; Cargo: s; Salario: 123

Funcionario: a; Cargo: s; Salario: 123

Funcionario: a; Cargo: s; Salario: 123

Funcionario: s; Cargo: s; Salario: 123

Funcionario: a; Cargo: a; Salario: 1

Funcionario: a; Cargo: a; Salario: 1

Funcionario: a; Cargo: a; Salario: 1

